"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
215,"2018-01-06 20:04:23.1250","2018-01-06 20:07:58.9180",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31779,"Subscriber",1984,1
166,"2018-01-07 02:56:32.7680","2018-01-07 02:59:19.3400",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31911,"Subscriber",1987,1
241,"2018-01-07 07:14:16.4460","2018-01-07 07:18:17.4500",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,31678,"Subscriber",1994,1
441,"2018-01-07 10:10:41.3620","2018-01-07 10:18:03.0770",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29672,"Customer",1969,0
420,"2018-01-07 12:50:43.5240","2018-01-07 12:57:43.6920",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31845,"Subscriber",1987,2
220,"2018-01-07 19:28:55.0440","2018-01-07 19:32:35.8340",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31911,"Subscriber",1984,1
518,"2018-01-07 19:52:41.4570","2018-01-07 20:01:19.6540",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,29672,"Subscriber",1988,1
511,"2018-01-08 09:32:07.2410","2018-01-08 09:40:38.4800",3183,"Exchange Place",40.7162469,-74.0334588,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,29629,"Subscriber",1988,2
385,"2018-01-08 09:41:29.1410","2018-01-08 09:47:54.8440",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,31861,"Subscriber",1975,1
682,"2018-01-08 10:01:04.6990","2018-01-08 10:12:27.4190",3183,"Exchange Place",40.7162469,-74.0334588,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,31842,"Subscriber",1976,1
99,"2018-01-08 11:10:04.8360","2018-01-08 11:11:44.2020",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,26228,"Subscriber",1981,0
580,"2018-01-08 11:20:19.2250","2018-01-08 11:29:59.4470",3183,"Exchange Place",40.7162469,-74.0334588,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31816,"Subscriber",1994,2
588,"2018-01-08 13:45:28.3620","2018-01-08 13:55:16.6190",3183,"Exchange Place",40.7162469,-74.0334588,3209,"Brunswick St",40.7241765,-74.0506564,26214,"Subscriber",1981,2
277,"2018-01-08 15:21:41.8390","2018-01-08 15:26:19.6630",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,31706,"Subscriber",1991,1
701,"2018-01-08 16:51:57.4070","2018-01-08 17:03:38.4910",3183,"Exchange Place",40.7162469,-74.0334588,3192,"Liberty Light Rail",40.7112423,-74.0557013,31675,"Subscriber",1985,1
727,"2018-01-08 17:08:37.0960","2018-01-08 17:20:44.5070",3183,"Exchange Place",40.7162469,-74.0334588,3194,"McGinley Square",40.7253399253558,-74.06762212514877,29669,"Subscriber",1989,1
204,"2018-01-08 17:11:27.7920","2018-01-08 17:14:52.0260",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31946,"Subscriber",1974,1
729,"2018-01-08 17:27:59.5940","2018-01-08 17:40:09.4330",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,31684,"Subscriber",1989,2
291,"2018-01-08 17:31:31.3240","2018-01-08 17:36:22.7890",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,31911,"Subscriber",1971,1
297,"2018-01-08 17:35:18.0980","2018-01-08 17:40:15.4740",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,31833,"Subscriber",1980,1
277,"2018-01-08 17:43:20.9540","2018-01-08 17:47:57.9840",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31760,"Subscriber",1960,1
198,"2018-01-08 17:53:52.8640","2018-01-08 17:57:11.7270",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,29641,"Subscriber",1986,1
653,"2018-01-08 17:56:18.5520","2018-01-08 18:07:12.5410",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,29590,"Subscriber",1990,1
326,"2018-01-08 17:58:59.9180","2018-01-08 18:04:25.9410",3183,"Exchange Place",40.7162469,-74.0334588,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,27011,"Subscriber",1985,1
346,"2018-01-08 18:10:44.5410","2018-01-08 18:16:31.4750",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,31738,"Subscriber",1981,1
818,"2018-01-08 18:28:47.0000","2018-01-08 18:42:25.9330",3183,"Exchange Place",40.7162469,-74.0334588,3203,"Hamilton Park",40.727595966,-74.044247311,31843,"Subscriber",1988,2
103,"2018-01-08 18:32:12.9530","2018-01-08 18:33:56.8090",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29681,"Subscriber",1983,1
409,"2018-01-08 19:20:22.0590","2018-01-08 19:27:11.5550",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,31825,"Subscriber",1964,2
322,"2018-01-08 19:22:29.7150","2018-01-08 19:27:52.6730",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,31822,"Subscriber",1980,1
272,"2018-01-08 19:34:49.5830","2018-01-08 19:39:22.0340",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29582,"Subscriber",1987,1
293,"2018-01-08 20:18:51.9180","2018-01-08 20:23:45.6440",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,31735,"Subscriber",1983,1
350,"2018-01-08 20:22:30.2360","2018-01-08 20:28:20.5320",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31847,"Subscriber",1992,1
251,"2018-01-08 20:22:37.9850","2018-01-08 20:26:49.3320",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29681,"Subscriber",1984,1
363,"2018-01-08 20:23:33.4820","2018-01-08 20:29:37.4240",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26249,"Subscriber",1990,2
235,"2018-01-08 20:53:25.9270","2018-01-08 20:57:21.4090",3183,"Exchange Place",40.7162469,-74.0334588,3638,"Washington St",40.7242941,-74.0354826,31778,"Subscriber",1981,1
329,"2018-01-09 15:51:43.0020","2018-01-09 15:57:12.8960",3183,"Exchange Place",40.7162469,-74.0334588,3213,"Van Vorst Park",40.71848892,-74.047726625,26249,"Subscriber",1986,1
2590,"2018-01-09 16:19:57.1160","2018-01-09 17:03:07.5480",3183,"Exchange Place",40.7162469,-74.0334588,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,31691,"Subscriber",1965,1
478,"2018-01-09 16:21:01.7680","2018-01-09 16:28:59.7960",3183,"Exchange Place",40.7162469,-74.0334588,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,31743,"Subscriber",1992,1
2227,"2018-01-09 17:04:13.6220","2018-01-09 17:41:21.2200",3183,"Exchange Place",40.7162469,-74.0334588,3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,31878,"Subscriber",1976,1
598,"2018-01-09 17:07:52.6250","2018-01-09 17:17:51.1500",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,29582,"Subscriber",1989,2
1403,"2018-01-09 17:33:50.9350","2018-01-09 17:57:14.5000",3183,"Exchange Place",40.7162469,-74.0334588,3213,"Van Vorst Park",40.71848892,-74.047726625,31701,"Subscriber",1971,1
299,"2018-01-09 17:46:21.3030","2018-01-09 17:51:20.3040",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31680,"Subscriber",1976,1
